N0;Name;Chronology;Type;utmx;utmy;ALTA;ALTM;TPI100;TPI100m;TPI500;TPI500m;TPI1000;TPI1000m;ALTrA;ALTrB;SLO;SLOm;SLOga;SLOt;SLOst;SLOpi;INCr45-15;ASP;ASPm;HYDROE;HYDROEm;HYDROC;HYDROCm;HYDROV;WET;WETm;WETv;GEOLE;GEOLEm;GEOLC;GEOLCm;GEOLV;CPFPCGs;CPFPCDs;CPFPCGc;CPFPCDc;VISC;VISZ;VISPR;VISPRm;LCPC;LCPCm;TOTINS;TOTINSm;DIRINS;DIRINSm;DIFINS;DIFINSm;WIND;WINDm
11;Curro Vello 2;Epipalaeolithic;Shelter;620626,28;4811066,47;747;745;3,8;0,26665;3,9184;0,4439;3,9184;0,4439;0,976470588;1,087336245;11,8008;10,8551;22,94117647;33,52272727;33,52272727;0,130718954;8,301414919;291,038;294,58;1200,52;1195,46;4112,431784;4088,06938;14122,28834;326,22;296,36;5277,426169;480,885;475,871;1349,265246;1318,491388;82306,95167;9974,251023;18942053,52;3305,057928;0;1357616,711;1310685,65;37;30;90,81118318;72,54745953;3,987;3,98531;3,0752;3,07204;0,9118;0,913265;1,2188;1,2058
12;Curro Vello 3;Epipalaeolithic;Shelter;620721,28;4810895,47;746;750;6,5556;2,43335;6,7755;2,64285;6,7959;2,64285;0,975163399;1,08588064;16,4561;17,2467;13,82978723;0,271763343;15,7622739;7,591623037;8,757485953;267,089;261,922;1101,14;1111,11;3944,13593;3996,418252;24710,00601;836,66;872,76;7895,574416;459,619;451,329;1393,434435;1454,141469;5457812,612;24466,41542;20239458,42;2544,489929;0;3603484,655;3968823,384;35;45;92,15132303;114,8384658;4,2243;4,43929;3,3158;3,53588;0,9085;0,903416;1,2089;1,22458
13;Curro Vello 4;Epipalaeolithic;Open-air;619782,27;4811694,48;708;707;-4,0667;-3,31113;-3,6122;-3,64285;-4,5714;-3,64285;0,951612903;1,020172911;7,74554;7,41363;10,68376068;13,47826087;13,47826087;0,136986301;9,373489578;342,897;320,312;577,17;575,341;1904,109445;1899,047421;0;358,08;351,75;2262,332807;79,0569;70,9851;194,0552225;200,2108891;14,055921;28300,27523;21338140,72;1478,320607;0;10687364,84;9396446,371;5;5;33,001;32,19347655;3,7143;3,74655;2,7999;2,83174;0,9144;0,914807;0,9682;0,964126
14;Curro Vello 5;Epipalaeolithic;Open-air;620333,28;4811810,48;740;739;-0,7556;-0,3778;-2,3673;-0,367325;-2,3673;-0,367325;0,98013245;1,04519774;6,00084;6,45891;7,62987013;0,146089302;10,37234043;9,428950863;8,786976988;177,274;175,296;1127,5;1126,38;3673,062967;3667,369035;0;562,12;569,69;4854,473537;536,773;546,61;1636,474802;1618,274031;73476,46201;28967,78649;21244877,81;1509,605345;0;18647354,69;14948228,9;12;11;49;49,64096515;4,8719;4,91935;3,9495;3,99784;0,9224;0,921542;0,9662;0,958118
15;Curro Vello 6;Epipalaeolithic;Shelter;620706,28;4811451,47;731;731;1,3778;0,261125;0,3878;0,2194;2,3469;0,2194;0,968211921;1,094311377;7,74554;8,20484;17,61133603;22,50922509;22,50922509;0,133155792;8,700292335;162,897;174,342;1505,2;1503,29;4761,03672;4750,940407;0;990,32;986,77;6209,723467;735,272;738,789;2108,599024;2120,022071;147421,2872;5183,526084;19365762,56;2827,121789;0;1935162,359;1922008,011;17;16;110;112,0310641;4,9491;4,9637;4,0292;4,04422;0,9199;0,919508;0,9808;0,969868
16;Curro Vello 7;Epipalaeolithic;Shelter;620612,28;4811133,47;734;734;-0,2;-0,472225;-0,4694;-0,5051;-0,4694;-0,5051;0,959477124;1,076246334;4,99861;5,40422;24,34017595;2,197802198;28,57142857;1,715039578;8,804812701;329,036;323,657;1253;1246,47;4201,811663;4188,339379;0;152,05;161,06;3340,50163;485,412;497,978;1357,774867;1354,043305;59928,50886;17622,45964;20877724,02;2891,8419;0;3868232,833;2437534,936;15;16;39,0004;28,9880711;4,0481;4,06462;3,1261;3,14274;0,922;0,921884;1,1299;1,14006
17;Curro Vello 8;Epipalaeolithic;Shelter;620235,28;4810738,47;757;756;1,2444;2,16112;2,0612;2,39285;2,7551;2,39285;0,996052632;1,141779789;2,06493;2,60902;16,11295681;5,890804598;17,67241379;0,395778364;8,172304718;146,31;147,706;735,272;731,605;2876,587702;2863,35952;84348,74251;1381,16;1392,67;15191,12511;0;0;0;0;10630630,5;25377,26189;20909979,96;1324,525831;0;5221851,44;4283512,863;56;55;108,150923;113,3691347;4,5336;4,58246;3,6062;3,65541;0,9274;0,927029;1,1946;1,18795
18;Curro Vello 9;Epipalaeolithic;Open-air;619727,27;4811366,47;711;711;-0,0222;1,58333;1,9592;1,79593;-0,0204;1,79593;0,95951417;1,044052863;5,49363;5,28016;12,90322581;20,19230769;20,19230769;0,136425648;8,846379444;98,9726;100,827;527,376;520,59;1886,264112;1869,661857;0;1190,06;1193;3358,173708;100;99,3227;292,4997667;313,0253592;140843,1831;28558,4008;21120296,12;1408,16214;0;6058072,034;6164893,169;3;4;121,0008;120,034149;4,4074;4,43865;3,4896;3,52052;0,9178;0,918122;0,8722;0,87698
19;Curro Vello 10;Epipalaeolithic;Shelter;619858,27;4811176,47;698;697;-1,7556;-2,63335;-1,9184;-2,90817;-2,4898;-2,90817;0,920844327;1,013062409;2,06493;2,29212;13,2183908;1,589061345;17,4796748;1,474530831;11,74685558;303,69;279,725;654,313;652,76;2249,110245;2263,154472;0;828,93;825,08;40,117555;0;0;0;0;119232,0157;24466,41542;21192191,24;2646,499656;0;26645328,71;27902937,41;5;4;155,0006;208,7643091;4,322;4,37974;3,4045;3,46239;0,9175;0,917357;0,8958;0,891547
20;Curro Vello 11;Epipalaeolithic;Open-air;620207,28;4811054,47;718;714;-2,3778;-2,82778;-0,5918;-3,22447;-0,5918;-3,22447;0,947229551;1,028653295;13,9876;13,021;11,95219124;1,010526316;19,2;2,635228849;10,34132774;321,52;322,78;1019,8;1015,96;3394,656451;3381,322896;0;320;270,61;4104,287953;103,078;108,925;286,5009667;309,6354602;94517,75523;7207,51923;19294804,39;3726,898789;0;1849774,946;1366321,069;12;11;73;40,47459112;3,5192;3,51184;2,6138;2,6042;0,9054;0,907644;1,1329;1,10716
21;Dos Ninas;Lower-Middle Magdalenian;Shelter;601526,11;4799970,34;485;482;9,3778;6,13333;10,4082;6,63268;10,4082;6,63268;0,952848723;1,122685185;10,4174;11,6572;9,808917197;14,39205955;14,39205955;0,2;7,694043406;225;242,879;485,412;492,136;1717,900933;1717,567381;1215739,378;646,5;604,31;1593120,785;25;17,9241;122;83,94843119;6308527,647;0;18377403,85;23168,28809;0;27077655,47;26236777,62;85;75;422,3018461;395,7503165;5,0489;4,69924;4,1752;3,82864;0,8737;0,870601;1,2001;1,18871
22;Fervedes II;Lower-Middle Magdalenian;Shelter;601620,10;4806964,40;495;495;9,2444;6,81665;8,449;6,89288;8,449;6,89288;0,968688845;1,066810345;13,2274;12,8745;11,75;0,585573596;15,22491349;5,098039216;8,740459085;209,291;192,524;70,7107;69,5717;438,5526225;423,778065;218324,129;542,27;557,62;58588,55578;548,862;535,055;1522,755224;1549,521446;295176,1784;0;19540036,05;4823,920938;0;7572810,65;5343928,161;24;28;454,6052921;467,7900989;5,0635;5,09547;4,1872;4,21908;0,8762;0,876337;1,0127;1,01516
