N0;Name;Chronology;Type;utmx;utmy;ALTA;ALTm;TPI100;TPI100m;TPI500;TPI500m;TPI1000;TPI1000m;ALTrA;ALTrB;SLO;SLOm;SLOga;SLOt;SLOst;SLOpi;INCr45-15;ASP;ASPm;HYDROE;HYDROEm;HYDROC;HYDROCm;HYDROV;WET;WETm;WETv;GEOLE;GEOLEm;GEOLC;GEOLCm;GEOLV;CPFPCGs;CPFPCDs;CPFPCGc;CPFPCDc;VISC;VISZ;VISPR;VISPRm;LCPC;LCPCm;TOTINS;TOTINSm;DIRINS;DIRINSm;DIFINS;DIFINSm;WIND;WINDm
45;173.1;Upper Palaeolithic/ Epipalaeolithic;Shelter;583053,0087;4762566,734;710;710;-0,73;-0,37;-0,59;-0,46;-0,59;-0,46;0,951742627;1,061285501;2,91899;2,75772;15,4;14,70588235;0,306372549;6,512890095;9,340778343;101,31;105,72;1827,05;1832,5;105,5425669;105,7846744;0;1,133333333;1,029666667;0,95836574;7756,65;7756,55;394,4849222;394,2559017;0;0;2343,37503;169,7284883;0;1764,707502;1963,733072;6;7;0,98018972;0,930713122;4,4212;4,4394;3,5016;3,51979;0,9196;0,9196;1,1516;1,15855
46;174.1;Upper Palaeolithic/ Epipalaeolithic;Shelter;583334,7603;4761718,081;682;682;-1,27;-0,99;-0,96;-1,08;-0,96;-1,08;0,961918195;1,055727554;7,03987;8,05527;12,5;11,29943503;0,594707107;2,687411598;8,391971704;201,371;207,343;1652,46;1640,62;89,27916615;88,81293747;9,101022831;27,7435;27,87533333;0,409015486;7450;7443,73;374,8979477;374,431719;0;0;2271,861615;151,2739903;0;408,6442761;342,9621001;9;10;1,335875384;1,372958574;4,9252;4,9373;4,0139;4,02668;0,9114;0,910676;1,0746;1,09752
47;175.1;Upper Palaeolithic/ Epipalaeolithic;Shelter;584056,9844;4762835,683;698;697;1,56;0,63;2,08;0,55;2,08;0,55;0,966759003;1,04023845;8,20673;8,15689;8,018867925;13,73390558;13,73390558;0,140449438;9,357384499;56,3099;63,8152;1227,29;1214,4;67,0185;66,52291123;9,651609264;10,77633333;11,39733333;1,023120016;6791,77;6790,07;347,3268055;346,8312167;0;0;2335,145156;179,0095183;0;618,7734212;58,7476699;14;15;2,18334;2,408966227;4,0797;4,10613;3,1658;3,19236;0,9139;0,913767;1,2375;1,23276
48;178.1;Upper Palaeolithic/ Epipalaeolithic;Shelter;584262,581;4762793,51;688;686;-5,38;-3,31;-5,02;-3,65;-5,02;-3,65;0,955555556;1,02994012;15,4607;14,5815;7,094133697;13,28903654;13,28903654;0,140056022;9,674486732;192,529;195,14;1015,2;1022,16;54,41497517;54,71727397;5,665133609;9,045333333;9,126333333;0,2372289;6590,24;6580,58;334,5880523;334,9817307;0;0;2295,135873;185,6555088;0;679,5540112;625,1228969;8;7;1,81351972;1,491346329;5,4928;5,43037;4,5941;4,53062;0,8987;0,899758;1,0941;1,09619
49;191.1;Upper Palaeolithic/ Epipalaeolithic;Shelter;582981,3737;4761874,289;683;683;0,89;0,56;1,12;0,52;1,12;0,52;0,964689266;1,019402985;2,71574;3,4374;21,22905028;6,686046512;0,60782241;1,578192253;9,475744214;161,565;140,788;2025,62;2018,44;108,3530167;108,1347212;0;24,75366667;24,58933333;0,183467705;7800;7797,11;393,9717983;393,7962082;0;0;2160,968522;104,7105939;0;1212,525595;1192,109347;2;3;1,366673333;1,627378436;4,6846;4,5887;3,7698;3,67415;0,9148;0,914519;1,0481;1,05462
50;201.1;Upper Palaeolithic/ Epipalaeolithic;Open-air;582771,0372;4757344,585;479;479;-1,78;-0,64;-1,39;-0,72;-1,39;-0,72;0,924710425;1,039045553;4,99861;5,03145;9,612141653;8,360128617;0,440006769;3,838383838;8,345059959;120,964;119,357;673,146;674,337;37,85832823;37,86473473;19,91165213;12,897;12,82166667;2,400776894;7550,04;7556;372,236355;372,2427615;57,68677076;0,401212516;1816,04384;36,24988428;0;1025,42545;680,7655509;26;26;1,025;0,967429863;4,5989;4,57504;3,7173;3,69337;0,8816;0,881663;0,7857;0,785979
51;204.1;Upper Palaeolithic/ Epipalaeolithic;Open-air;581400,9074;4755588,09;486;486;0,02;0,76;0,1;0,87;0,1;0,87;1,036247335;1,068131868;4,52023;4,08111;2,167182663;5,582524272;0,293817067;3,838383838;8,477608889;251,565;245,44;1060,95;1056,05;54,67044732;54,46428595;41,54964692;9,636;9,3515;10,74267297;5715;5706,88;285,655105;285,4489437;73,77277835;0;2175,625035;141,5576095;0;374,7727416;296,6563491;45;47;0;0,302741521;4,4321;4,47588;3,5488;3,59224;0,8834;0,883696;0,9233;0,923975
52;205.1;Upper Palaeolithic/ Epipalaeolithic;Open-air;581172,3912;4755539,718;471;470;-1,89;-1,16;-2,06;-1,07;-2,06;-1,07;0,955375254;1,037444934;3,45734;3,19503;5,945121951;7,62195122;0,508130081;3,112033195;9,982513172;204,444;216,46;901,734;896,623;48,49577295;48,09825713;14,81938195;9,04;8,946833333;2,670025896;5505,74;5495,72;274,2759093;274,2918057;73,6042051;0;2181,356096;128,0931357;0;809,847125;814,0052729;13;13;2,549375103;2,488102467;4,611;4,54655;3,7293;3,66475;0,8817;0,881801;0,8342;0,833929
53;261.1;Upper Palaeolithic/ Epipalaeolithic;Open-air;580229,6085;4760237,778;743;743;0,13;-0,73;-0,02;-0,73;-0,02;-0,73;0,982804233;1,081513828;4,91667;5,01787;21,83544304;11,11111111;11,11111111;0,132625995;9,017657223;234,462;245,074;1432,65;1423,15;74,93084767;74,49397498;0;13,7435;13,434;0;8761,6;8752,42;445,0511803;444,8698337;0;0;2218,424727;151,8061209;0;49,53078987;38,41393532;4;4;0,650006667;0,608024735;4,6986;4,59896;3,7749;3,67547;0,9236;0,923425;1,2719;1,27235
54;262.1;Upper Palaeolithic/ Epipalaeolithic;Open-air;580122,8564;4760174,518;741;740;1,42;1,12;1,06;1,06;1,06;1,06;0,98015873;1,064655172;4,29864;4,49894;17,8041543;8,064516129;0,078296273;13,75166889;8,896890999;356,186;305,778;1487,66;1489,52;76,88200782;76,96742712;22,70840123;10,21016667;10,36633333;10,29630051;8653,9;8652,96;439,9105388;440,05879;0;0;2258,695567;136,6192051;0;589,5847111;442,7219389;5;5;0,98018972;0,939446918;4,0617;4,04894;3,1383;3,12569;0,9235;0,923331;1,2737;1,2738
55;263.1;Upper Palaeolithic/ Epipalaeolithic;Open-air;579873,7682;4760178,471;738;738;1,4;0,44;1;0,49;1;0,49;0,981382979;1,060344828;5,31353;5,14873;7,106598985;9,066666667;0,335802469;3,6;9,059705831;306,254;301,732;1717,74;1720,02;86,90773783;86,95595135;0,200182604;17,14266667;17,31583333;0,109909715;8561,69;8564,92;436,7442577;437,0824342;0;0;2346,119375;180,3071812;0;4443,960122;4378,890646;2;2;1,31351972;1,198953869;4,147;4,20434;3,2249;3,28203;0,9222;0,922382;1,2915;1,28984
56;264.1;Upper Palaeolithic/ Epipalaeolithic;Open-air;579695,8391;4760101,379;726;725;-1,71;-2,66;-2,29;-2,9;-2,29;-2,9;0,955263158;1,038626609;6,50463;6,72129;11,0707804;9,6875;0,745192308;1,744966443;11,35003651;285,255;285,557;1858,26;1862,18;94,37100753;94,39000853;0,083628708;23,9695;24,03866667;5,59332496;8430,38;8430,75;431,6635038;431,916368;0;0;2362,163458;165,3133721;0;1327,273279;530,8257311;1;1;1,402535384;1,53739064;4,2313;4,25304;3,3115;3,33383;0,9199;0,919303;1,2555;1,25306
57;265.1;Upper Palaeolithic/ Epipalaeolithic;Shelter;580103,0875;4759652,619;735;734;-1,31;-1,34;-0,94;-1,46;-0,94;-1,46;0,972222222;1,01800554;3,66372;4,08397;9,018567639;6,422018349;0,802752294;1,068090788;10,09073176;128,66;129,8;1378,63;1374,33;73,35598997;73,0801011;0;8,1045;7,843666667;1,273035971;8160,96;8164,83;415,6009355;416,0138092;3,176882231;0;2227,598715;119,4038977;0;1428,791893;1445,197657;6;6;0,683336667;0,814176758;4,612;4,63354;3,6888;3,71077;0,9232;0,922779;1,0755;1,07535
58;266.1;Upper Palaeolithic/ Epipalaeolithic;Shelter;580150,5329;4759577,497;731;730;-1,44;-1,06;-1,24;-1,21;-1,24;-1,21;0,966931217;1,016689847;2,02487;2,045;7,034220532;8,992805755;2,997601918;0,400534045;11,04859959;98,1301;106,123;1325,24;1323,12;72,51099208;72,18738578;0;9,559333333;9,091833333;0,385780808;8112,68;8115,38;412,7031292;413,2240758;2,830325736;0;2230,714977;134,9526646;0;113,4121247;112,1457077;5;5;2,81089205;2,994997678;4,4282;4,45847;3,5052;3,53544;0,9229;0,922939;1,0923;1,08867
59;267.1;Upper Palaeolithic/ Epipalaeolithic;Shelter;580225,6547;4759530,051;728;728;-1,33;-0,6;-1,08;-0,64;-1,08;-0,64;0,962962963;1,015341702;2,02487;1,95877;6,456953642;7,168458781;0,651678071;1,482479784;11,45751977;81,8699;97,1573;1250,25;1247,73;68,24991932;67,9777614;0;10,8675;10,25083333;0,407929306;8098,3;8103,32;412,5069878;413,1500905;2,805259618;0;2222,395285;150,219801;0;356,6813739;339,9698538;4;4;3,962082318;4,074999433;4,4307;4,46454;3,5083;3,54202;0,9225;0,922583;1,097;1,10445
60;268.1;Upper Palaeolithic/ Epipalaeolithic;Open-air;580502,4194;4759114,904;742;742;3,98;3,56;4,04;3,85;4,04;3,85;0,984084881;1,056980057;8,48393;7,42881;7,334273625;6,451612903;0,258064516;3,346720214;8,810516034;309,56;312,522;1063,6;1062,25;58,99908723;58,96746985;0;10,76666667;11,14083333;1,888345589;7861,81;7853,97;401,8931998;401,6899378;0;0;2252,036926;131,778525;0;337,6137407;90,55031991;11;12;3,216035103;3,322594628;3,9431;4,01092;3,0235;3,09005;0,9196;0,920875;1,2565;1,2575
61;269.1;Upper Palaeolithic/ Epipalaeolithic;Open-air;580532,2215;4758949,604;746;745;0,47;0,89;0,53;1,01;0,53;1,01;0,979002625;1,053672316;3,33711;3,92115;6,809583859;7,736389685;0,171919771;5,976095618;8,920099465;59,0362;59,6934;1123,61;1114,1;61,20373982;60,6839129;0,369723199;10,82866667;11,23683333;1,856267736;7719,5;7722,51;394,3607303;394,5937722;3,802026234;0;2064,494161;132,7576215;0;3443,426294;1622,75865;14;13;0,716666667;0,716828335;4,3407;4,28066;3,4159;3,35645;0,9248;0,92421;1,2215;1,21082
