N0;Name;Chronology;Type;utmx;utmy;ALTA;ALTm;TPI100;TPI100m;TPI500;TPI500m;TPI1000;TPI1000m;ALTrA;ALTrB;SLO;SLOm;SLOga;SLOt;SLOst;SLOpi;INCr45-15;ASP;ASPm;HYDROE;HYDROEm;HYDROC;HYDROCm;HYDROV;WET;WETm;WETv;GEOLE;GEOLEm;GEOLC;GEOLCm;GEOLV;CPFPCGs;CPFPCDs;CPFPCGc;CPFPCDc;VISC;VISZ;VISPR;VISPRm;LCPC;LCPCm;TOTINS;TOTINSm;DIRINS;DIRINSm;DIFINS;DIFINSm;WIND;WINDm
11;77.1;Upper Palaeolithic/ Epipalaeolithic;Shelter;582186,6914;4760734,116;714;717;5,49;5,09;5,9;5,44;5,9;5,44;0,972752044;1,046920821;10,6849;9,4497;15,80547112;20,58823529;20,58823529;0,136425648;9,562958788;32,0054;37,8659;1194;1186,87;65,02737873;64,65396232;0;6,767166667;6,882666667;0,199660867;8649,6;8640,29;427,5222112;428,2244073;1,997345146;0;2221,167375;144,0333358;0;589,726762;280,2362862;4;5;2,01668;1,886569153;3,535;3,75127;2,6249;2,83752;0,9102;0,913755;1,2318;1,23754
12;78.1;Upper Palaeolithic/ Epipalaeolithic;Shelter;581814,3101;4761445,101;751;751;0,91;0,84;1,2;0,94;1,2;0,94;0,985564304;1,112592593;0,572939;0,867552;12,42857143;9,271523179;0,515084621;2,380952381;8,71080249;90;163,296;1185,59;1179,63;75,4444656;75,16345615;1,787236759;27,33866667;27,20466667;4,451016233;8977,23;8966,48;453,0782842;453,4734003;2,41526116;0;2330,36458;168,9883863;0;1832,824666;1092,650372;7;7;2,42703944;2,62423256;4,4411;4,40532;3,5146;3,47887;0,9265;0,926459;1,28;1,28047
13;79.1;Upper Palaeolithic/ Epipalaeolithic;Shelter;581741,752;4761790,378;702;703;-0,42;-0,69;-1,59;-0,96;-1,59;-0,96;0,932270916;1,126805778;8,81524;10,303;22,53032929;21,96721311;0,813600486;3,683492497;11,08088865;339,228;285,562;917,878;915,063;58,90329043;58,68072185;46,48467874;39,46666667;39,779;15,95536463;9025;9036,73;456,217405;456,5380495;0;0;2328,171574;155,7350885;0;895,3246984;1018,136245;29;31;2,285079547;2,017619877;3,5545;3,42738;2,6419;2,51754;0,9125;0,909783;1,3174;1,31936
14;86.1;Upper Palaeolithic/ Epipalaeolithic;Shelter;582204,6224;4761525,165;757;756;2,33;3,3;3,51;3,57;3,51;3,57;0,99343832;1,073758865;8,66047;9,71168;12,07627119;12,09439528;0,177858754;8,923884514;8,601064757;113,199;111,614;1445,03;1448,5;89,1448012;89,36116067;18,47912174;38,91933333;39,19383333;12,66809035;8575,91;8574,75;437,8034275;437,3828853;66,34360078;0;2355,483252;176,5109097;0;4530,76479;5006,670007;32;29;3,61918205;3,609539908;4,6692;4,66096;3,7469;3,7407;0,9223;0,920256;1,2473;1,2406
15;87.1;Upper Palaeolithic/ Epipalaeolithic;Shelter;582265,9215;4761532,671;738;741;-4,58;-1,29;-3,76;-1,36;-3,76;-1,36;0,968503937;1,068017366;13,7249;15,1934;13,4469697;12,5;0,416666667;3,937007874;9,316130718;112,891;114,256;1510,38;1498,41;92,78002953;92,12406005;10,86080715;38,52266667;39,43433333;4,397514669;8525,92;8513,36;432,5034275;433,0543325;44,96486438;0;2175,411153;196,3536132;0;3679,653858;4490,558969;9;12;0,916666667;1,66710403;4,7425;4,82092;3,833;3,91322;0,9096;0,907766;1,1253;1,14322
16;88.1;Upper Palaeolithic/ Epipalaeolithic;Open-air;580905,7051;4759486,56;722;720;-0,4;0,94;0,18;1,02;0,18;1,02;0,980978261;1,054014599;6,16038;6,89408;7,213578501;8,148148148;0,582010582;1,915184679;8,212343935;166,607;165,573;577,17;570,749;32,6226233;32,31024372;0,396402813;17,33733333;17,76983333;1,015426046;8382,2;8373,1;423,7778058;423,504847;2,754208004;0;2182,631669;144,6690156;0;17,95892634;22,30074305;7;6;5,869205383;6,050773145;4,8649;4,92668;3,9455;4,00833;0,9195;0,918367;1,0455;1,03205
17;90.1;Upper Palaeolithic/ Epipalaeolithic;Open-air;580407,5286;4760079,627;739;738;-4,44;-2,04;-4,31;-2,07;-4,31;-2,07;0,977513228;1,026388889;9,09028;7,78308;6;6,624605678;6,624605678;0,133511348;8,972425529;90;106,998;1196,35;1191,92;63,04474007;62,88891905;1,928921795;11,68066667;12,247;0,953609984;8671,25;8678,76;440,781107;441,2999387;3,027881244;0;2252,568057;130,0303203;0;356,9864513;92,25575851;3;3;2,700016667;2,308953585;4,3755;4,58224;3,4582;3,66285;0,9173;0,919388;1,1679;1,15961
18;91.1;Upper Palaeolithic/ Epipalaeolithic;Open-air;580371,9446;4760380,114;752;752;1,2;1,89;1,65;2,11;1,65;2,11;0,994708995;1,110782866;4,22215;3,86671;23,58208955;14,83516484;3,708791209;0,529100529;8,422969737;151,699;154,526;1375;1381,58;72,75373538;72,98084692;4,258381106;21,80666667;22,27183333;1,897583054;8935,46;8939,2;453,6185102;454,0837293;3,028455138;0;2248,863946;130,5713694;0;155,3588898;182,7307323;9;10;2,91918205;3,268016482;4,7926;4,75351;3,8674;3,82801;0,9252;0,925505;1,2767;1,28236
19;92.1;Upper Palaeolithic/ Epipalaeolithic;Shelter;582113,2994;4760747,46;716;713;4,87;0,23;4,31;0,14;4,31;0,14;0,972826087;1,046783626;12,4879;12,7071;7,055630936;17,76649746;0,341663413;7,123287671;9,675121161;331,699;328,183;1221,17;1226,5;64,82476762;64,6830318;0;4,1;3,505666667;0,173258098;8721,56;8711,88;431,1888812;431,553459;0;0;2218,757985;141,2991254;0;570,2062118;539,1465611;3;2;3,173909158;3,283002595;3,5421;3,45483;2,6316;2,5469;0,9105;0,907929;1,2256;1,20658
20;95.1;Upper Palaeolithic/ Epipalaeolithic;Shelter;580012,1505;4759743,556;747;746;1,42;1,34;1,18;1,51;2;1,51;0,98678996;0,993351064;2,94688;2,98902;0,787401575;4,926108374;0,153940887;4,260985353;9,109373516;150,945;164,245;1463,73;1474,4;77,6428248;78,16097762;1,801564836;11,9675;12,47433333;3,781167283;8213,48;8212,54;420,2330898;419,9123933;3,242613836;0;2334,376983;178,9268872;0;1529,025474;980,2846599;8;8;1,802515383;1,817578882;4,6189;4,66248;3,6934;3,73721;0,9255;0,925277;1,2227;1,2231
