Type;ALTm;TPI100m;TPI500m;TPI1000m;SLOm;ASPm;HYDROEm;HYDROCm;WETm;GEOLEm;GEOLCm;VISPRm;LCPCm;TOTINSm;DIRINSm;DIFINSm;WINDm
Sites;686;-3,31;-6,595576135;-1,676982085;14,5815;195,14;1022,16;54,71727397;9,126333333;6580,58;334,9817307;7;1,491346329;5,43037;4,53062;0,899758;1,09619
Sites;702;-1,23;7,562564878;17,48315361;1,69395;11,5937;1114,75;62,01863897;10,541;6849,03;348,4532042;20;1,00875252;4,29694;3,37859;0,918405;1,2166
Sites;694;-0,31;11,36279605;5,716068989;11,3381;143,258;1535,99;85,20692438;20,58583333;7306,66;370,825706;15;1,067028257;5,06251;4,15391;0,908517;1,03619
Sites;682;-0,99;-0,307314221;-12,21097294;8,05527;207,343;1640,62;88,81293747;27,87533333;7443,73;374,431719;10;1,372958574;4,9373;4,02668;0,910676;1,09752
Sites;698;-3,56;-1,752153012;11,73151384;5,83306;112,183;1411,89;77,5433307;17,2715;7319,33;364,528726;21;1,463052673;4,55943;3,64338;0,916094;1,02268
Sites;474;-1,78;-26,20492941;-66,74238836;0,844907;164,72;33,2473;6,391534945;7,392166667;5367,44;259,2860683;6;13,62624584;4,41775;3,53474;0,88297;0,799325
Sites;696;-0,18;-1,939852187;-4,113872006;6,6186;242,52;1868,69;96,49536607;9,301166667;7603,19;382,9718;5;1,193816425;4,62705;3,71257;0,914481;1,19305
Sites;683;0,56;-11,20891937;-22,59987468;3,4374;140,788;2018,44;108,1347212;24,58933333;7797,11;393,7962082;3;1,627378436;4,5887;3,67415;0,914519;1,05462
Sites;726;3,99;14,87492398;13,39210271;9,89441;311,162;1089,74;58,85067052;10,22166667;8692,11;432,2426478;6;0,87709164;3,86877;2,95376;0,91503;1,26733
Sites;717;5,09;0,479990369;-1,064662486;9,4497;37,8659;1186,87;64,65396232;6,882666667;8640,29;428,2244073;5;1,886569153;3,75127;2,83752;0,913755;1,23754
Sites;713;0,23;-3,391351665;-3,45383158;12,7071;328,183;1226,5;64,6830318;3,505666667;8711,88;431,553459;2;3,283002595;3,45483;2,5469;0,907929;1,20658
Sites;703;-3,11;-15,69153506;-15,36957816;2,13284;28,099;1286,87;68,53316352;3,302666667;8684,67;431,056115;1;4,362983775;4,26584;3,34768;0,918118;1,07691
Sites;706;0,61;-9,874900431;-10,91634118;8,00813;205,309;1282,06;71,27080477;9,564333333;8555,03;425,0229555;1;1,814720843;4,95496;4,04084;0,9141;1,13759
Sites;709;-1,78;-12,51109067;-9,73190156;5,66057;188,926;1391,43;76,21650338;10,81516667;8644;430,8443115;1;0,609410793;4,7195;3,80181;0,917726;1,03891
Sites;735;1,14;5,163817859;15,51613311;2,96756;192,377;1478,38;77,78790258;11,38816667;8914,02;446,1630312;12;1,576546034;4,61097;3,68769;0,92328;1,22138
Sites;727;0,92;1,307446584;7,993438966;3,72204;188,395;1560,69;85,4153552;24,262;8484,42;425,300121;11;0,983703594;4,71599;3,79445;0,921509;1,16185
Sites;703;-0,69;-1,999632735;14,81343947;10,303;285,562;915,063;58,68072185;39,779;9036,73;456,5380495;31;2,017619877;3,42738;2,51754;0,909783;1,31936
Sites;758;2,21;25,77762425;53,93885989;5,14153;322,699;1299,34;82,92442557;45,93366667;8633,91;439,3142227;45;6,74606961;4,11055;3,18468;0,925863;1,31241
Sites;741;-1,29;8,616843781;28,80096346;15,1934;114,256;1498,41;92,12406005;39,43433333;8513,36;433,0543325;12;1,66710403;4,82092;3,91322;0,907766;1,14322
Sites;756;3,3;20,94308615;44,19838061;9,71168;111,614;1448,5;89,36116067;39,19383333;8574,75;437,3828853;29;3,609539908;4,66096;3,7407;0,920256;1,2406
Sites;755;1,98;17,72445905;46,99166519;5,67978;308,404;1285,97;80,70605505;33,09283333;8777,64;446,9742697;29;2,151215938;4,10346;3,17895;0,924506;1,30996
Sites;755;2,62;17,42237926;45,1104106;4,424;227,14;1319,04;82,23308825;31,0035;8778,71;446,2701557;21;1,139236635;4,66078;3,73482;0,925962;1,29341
Sites;749;-0,13;12,54554511;39,72898622;5,0393;212,087;1271,79;79,44054563;27,73883333;8854,19;448,2599077;8;0,383828131;4,78089;3,85667;0,924257;1,26235
Sites;751;0,84;18,94534689;44,27038076;0,867552;163,296;1179,63;75,16345615;27,20466667;8966,48;453,4734003;7;2,62423256;4,40532;3,47887;0,926459;1,28047
Sites;732;1,24;14,29929922;27,36096713;6,318;346,402;1093,51;68,35627918;19,849;9306,35;467,0806058;28;1,341886282;3,90377;2,98319;0,920573;1,3081
Sites;725;-2,66;-14,32333896;-7,218682111;6,72129;285,557;1862,18;94,39000853;24,03866667;8430,75;431,916368;1;1,53739064;4,25304;3,33383;0,919303;1,25306
