Area;ALTA;ALTm;TPI100;TPI100m;TPI500;TPI500m;TPI1000;TPI1000m;ALTrA;ALTrB;SLO;SLOm;SLOga;SLOt;SLOst;SLOpi;INCr45-15;ASP;ASPm;HYDROE;HYDROEm;HYDROC;HYDROCm;HYDROV;WET;WETm;WETv;GEOLE;GEOLEm;GEOLC;GEOLCm;GEOLV;CPFPCGs;CPFPCDs;CPFPCGc;CPFPCDc;VISC;VISZ;VISPR;VISPRm;LCPC;LCPCm;TOTINS;TOTINSm;DIRINS;DIRINSm;DIFINS;DIFINSm;WIND;WINDm
Northern Mountain ranges;747;745;3,8;1,905358884;3,9184;16,11169776;3,9184;31,53868547;0,976470588;1,087336245;11,8008;10,8551;22,94117647;33,52272727;33,52272727;0,130718954;8,301414919;291,038;294,58;1200,52;1195,46;4112,431784;4088,06938;14122,28834;326,22;296,36;5277,426169;480,885;475,871;1349,265246;1318,491388;82306,95167;9974,251023;18942053,52;3305,057928;0;1357616,711;1310685,65;37;30;90,81118318;72,54745953;3,987;3,98531;3,0752;3,07204;0,9118;0,913265;1,2188;1,2058
Northern Mountain ranges;746;750;6,5556;-0,197990862;6,7755;20,31512823;6,7959;39,27249168;0,975163399;1,08588064;16,4561;17,2467;13,82978723;0,271763343;15,7622739;7,591623037;8,757485953;267,089;261,922;1101,14;1111,11;3944,13593;3996,418252;24710,00601;836,66;872,76;7895,574416;459,619;451,329;1393,434435;1454,141469;5457812,612;24466,41542;20239458,42;2544,489929;0;3603484,655;3968823,384;35;45;92,15132303;114,8384658;4,2243;4,43929;3,3158;3,53588;0,9085;0,903416;1,2089;1,22458
Northern Mountain ranges;708;707;-4,0667;-3,685285062;-3,6122;-9,662686536;-4,5714;-10,61769392;0,951612903;1,020172911;7,74554;7,41363;10,68376068;13,47826087;13,47826087;0,136986301;9,373489578;342,897;320,312;577,17;575,341;1904,109445;1899,047421;0;358,08;351,75;2262,332807;79,0569;70,9851;194,0552225;200,2108891;14,055921;28300,27523;21338140,72;1478,320607;0;10687364,84;9396446,371;5;5;33,001;32,19347655;3,7143;3,74655;2,7999;2,83174;0,9144;0,914807;0,9682;0,964126
Northern Mountain ranges;740;739;-0,7556;-0,166709781;-2,3673;5,685700376;-2,3673;18,33724034;0,98013245;1,04519774;6,00084;6,45891;7,62987013;0,146089302;10,37234043;9,428950863;8,786976988;177,274;175,296;1127,5;1126,38;3673,062967;3667,369035;0;562,12;569,69;4854,473537;536,773;546,61;1636,474802;1618,274031;73476,46201;28967,78649;21244877,81;1509,605345;0;18647354,69;14948228,9;12;11;49;49,64096515;4,8719;4,91935;3,9495;3,99784;0,9224;0,921542;0,9662;0,958118
Northern Mountain ranges;731;731;1,3778;1,410472177;0,3878;6,708081731;2,3469;14,25685034;0,968211921;1,094311377;7,74554;8,20484;17,61133603;22,50922509;22,50922509;0,133155792;8,700292335;162,897;174,342;1505,2;1503,29;4761,03672;4750,940407;0;990,32;986,77;6209,723467;735,272;738,789;2108,599024;2120,022071;147421,2872;5183,526084;19365762,56;2827,121789;0;1935162,359;1922008,011;17;16;110;112,0310641;4,9491;4,9637;4,0292;4,04422;0,9199;0,919508;0,9808;0,969868
Northern Mountain ranges;734;734;-0,2;-0,628144473;-0,4694;5,140727341;-0,4694;18,2607656;0,959477124;1,076246334;4,99861;5,40422;24,34017595;2,197802198;28,57142857;1,715039578;8,804812701;329,036;323,657;1253;1246,47;4201,811663;4188,339379;0;152,05;161,06;3340,50163;485,412;497,978;1357,774867;1354,043305;59928,50886;17622,45964;20877724,02;2891,8419;0;3868232,833;2437534,936;15;16;39,0004;28,9880711;4,0481;4,06462;3,1261;3,14274;0,922;0,921884;1,1299;1,14006
Northern Mountain ranges;757;756;1,2444;2,676707951;2,0612;33,88753399;2,7551;50,63715481;0,996052632;1,141779789;2,06493;2,60902;16,11295681;5,890804598;17,67241379;0,395778364;8,172304718;146,31;147,706;735,272;731,605;2876,587702;2863,35952;84348,74251;1381,16;1392,67;15191,12511;0;0;0;0;10630630,5;25377,26189;20909979,96;1324,525831;0;5221851,44;4283512,863;56;55;108,150923;113,3691347;4,5336;4,58246;3,6062;3,65541;0,9274;0,927029;1,1946;1,18795
Northern Mountain ranges;711;711;-0,0222;2,332443641;1,9592;-5,155263818;-0,0204;-4,688132764;0,95951417;1,044052863;5,49363;5,28016;12,90322581;20,19230769;20,19230769;0,136425648;8,846379444;98,9726;100,827;527,376;520,59;1886,264112;1869,661857;0;1190,06;1193;3358,173708;100;99,3227;292,4997667;313,0253592;140843,1831;28558,4008;21120296,12;1408,16214;0;6058072,034;6164893,169;3;4;121,0008;120,034149;4,4074;4,43865;3,4896;3,52052;0,9178;0,918122;0,8722;0,87698
Northern Mountain ranges;698;697;-1,7556;-2,340914625;-1,9184;-25,48269598;-2,4898;-16,65804038;0,920844327;1,013062409;2,06493;2,29212;13,2183908;1,589061345;17,4796748;1,474530831;11,74685558;303,69;279,725;654,313;652,76;2249,110245;2263,154472;0;828,93;825,08;40,117555;0;0;0;0;119232,0157;24466,41542;21192191,24;2646,499656;0;26645328,71;27902937,41;5;4;155,0006;208,7643091;4,322;4,37974;3,4045;3,46239;0,9175;0,917357;0,8958;0,891547
Northern Mountain ranges;718;714;-2,3778;-1,756601187;-0,5918;-11,73626859;-0,5918;-2,972620493;0,947229551;1,028653295;13,9876;13,021;11,95219124;1,010526316;19,2;2,635228849;10,34132774;321,52;322,78;1019,8;1015,96;3394,656451;3381,322896;0;320;270,61;4104,287953;103,078;108,925;286,5009667;309,6354602;94517,75523;7207,51923;19294804,39;3726,898789;0;1849774,946;1366321,069;12;11;73;40,47459112;3,5192;3,51184;2,6138;2,6042;0,9054;0,907644;1,1329;1,10716
Northern Mountain ranges;485;482;9,3778;6,78850522;10,4082;23,27330196;10,4082;26,67253593;0,952848723;1,122685185;10,4174;11,6572;9,808917197;14,39205955;14,39205955;0,2;7,694043406;225;242,879;485,412;492,136;1717,900933;1717,567381;1215739,378;646,5;604,31;1593120,785;25;17,9241;122;83,94843119;6308527,647;0;18377403,85;23168,28809;0;27077655,47;26236777,62;85;75;422,3018461;395,7503165;5,0489;4,69924;4,1752;3,82864;0,8737;0,870601;1,2001;1,18871
Northern Mountain ranges;495;495;9,2444;7,11511448;8,449;6,736848642;8,449;2,34104886;0,968688845;1,066810345;13,2274;12,8745;11,75;0,585573596;15,22491349;5,098039216;8,740459085;209,291;192,524;70,7107;69,5717;438,5526225;423,778065;218324,129;542,27;557,62;58588,55578;548,862;535,055;1522,755224;1549,521446;295176,1784;0;19540036,05;4823,920938;0;7572810,65;5343928,161;24;28;454,6052921;467,7900989;5,0635;5,09547;4,1872;4,21908;0,8762;0,876337;1,0127;1,01516
Northern Mountain ranges;666;665;-1,5333;-1,859431944;-2,102;3,292099916;-1,5714;-7,374478147;0,959654179;1,088235294;7,35253;7,03575;12,34939759;11,2;11,2;0,148148148;7,953157842;215,538;206,994;1221,93;1229,23;4202,131459;4218,762349;3537,058987;500,51;493,19;306,415595;1559,85;1571,97;5110,753055;5106,304544;24240,94439;142910,5715;18293055,57;2312,962049;0;6833156,28;5840024,764;8;8;76,001;75,7394442;4,8296;4,82732;3,9198;3,91756;0,9098;0,909759;0,9502;0,948436
Northern Mountain ranges;645;641;-1,8889;5,215802182;1,3061;-1,670392014;1,3061;-28,42333824;0,944363104;1,164259928;24,4877;23,3085;19,9381762;7,117437722;28,46975089;0,600600601;8,961350937;72,7585;72,1642;443,001;432,691;2063,595814;2012,605039;27029,13897;1299,75;1318,48;227,981009;2708,55;2716,47;8681,484012;8661,135505;0;154104,927;19298701,51;290,0526225;0;4612434,261;4807439,51;3;3;191,8115832;162,8869208;3,5806;3,5968;2,719;2,72869;0,8615;0,86807;1,0448;0,997121
Northern Mountain ranges;558;561;8,9778;8,043104801;8,7551;22,42602724;9,6939;19,31862035;0,953846154;1,145790554;22,1494;19,1874;12,25;1,786352269;16,07717042;1,573426573;7,877313391;242,176;239,761;1776,58;1783,49;5920,35855;5966,273306;732495,8061;756,84;779,9;735961,3663;1820,89;1811,31;5797,06733;5849,533312;3902558,856;0;22465994,78;17625,40915;0;24575788,68;28141846,68;32;37;380,5844726;395,6705082;4,928;4,92585;4,0725;4,0613;0,8555;0,864546;1,2219;1,2335
Northern Mountain ranges;755;755;1,2444;2,254397522;2,0612;33,33745477;2,0612;49,97121444;0,994729908;1,142208775;4,88349;4,17001;14,98470948;0,587484036;15,86206897;3,562005277;8,205973389;159,444;151,864;711,512;721,848;2796,587702;2826,970045;93215,35207;1445,16;1425,4;20388,62182;0;0;0;0;10625272,16;24466,41542;21145505,64;2630,447634;0;25807087,13;22301548,05;50;52;143,151123;127,5592834;4,7937;4,72333;3,868;3,79736;0,9256;0,925925;1,1588;1,16809
Northern Mountain ranges;512;507;10,7111;6,933603791;3,2857;-14,88120364;9,6939;-31,99968157;0,919210054;1,094017094;23,6976;25,2513;24,58563536;21,875;21,875;0,189035917;9,343694508;227,77;225,433;70,7107;63,9147;464,2191447;415,4353454;29453,36408;1105,97;1090,29;2978,408126;2980,98;2975,79;9146,771715;9152,118975;4858,137116;90260,55675;16051418,46;368,0548225;0;1209670,227;1098336,471;9;7;291;247,6676237;5,1883;5,26215;4,3369;4,41836;0,8514;0,843813;1,1743;1,13928
Northern Mountain ranges;451;451;-0,8667;-0,792721806;-1,1837;-6,321122245;-1,1837;-10,54053359;0,939583333;1,03440367;0;0,0679878;7,457627119;0,680272109;9,523809524;3,010752688;10,33133057;-1;11,3364;292,617;299,839;1046,830109;1064,162445;710879,7606;0;6,33;1040388,975;0;0;0;0;4496286,237;0;19679360,4;25918,29886;0;15029146,85;11975436,8;35;33;245,4381311;248,3110662;4,3425;4,34808;3,4629;3,46848;0,8796;0,879594;0,9401;0,936481
Northern Mountain ranges;454;453;0,3778;0,438983531;0,2653;-0,785478947;0,2653;-11,28055198;0,97008547;1,038901602;2,71574;2,38193;4,335664336;0,184263866;4,975124378;5,856832972;8,859924165;251,565;258,693;182,003;174,406;645,2521533;616,8349068;793481,6867;158,05;148,59;1153172,028;0;0;0;0;4765050,795;0;20149627,96;24944,29846;0;16743098,4;20941878,09;41;40;41,0002;64,93517278;4,4306;4,36863;3,551;3,48901;0,8796;0,879574;0,9534;0,947907
Northern Mountain ranges;483;483;-0,8889;-0,61840389;-1,0408;0,089617826;-1,0408;0,08036025;0,964071856;1,052287582;3,83777;3,91661;5,714285714;0,56056544;6,166219839;2,226720648;8,782458691;116,565;123,225;770,146;770,327;2526,346166;2533,539403;13104,74548;210,05;216,11;150493,9275;175;170,267;529,0002;544,0685525;3018339,795;0;21181518,82;24610,34788;0;20981471,57;20760301,77;29;29;335,3960558;347,1082135;4,4348;4,47609;3,5513;3,59267;0,8836;0,883504;0,8374;0,837557
Northern Mountain ranges;658;657;5,6;6,754136851;7,4286;3,814376665;7,4286;-13,80455402;0,94269341;1,068181818;16,3891;16,8243;14,6953405;16,33802817;16,33802817;0,147928994;8,169734259;144,689;126,99;1185,85;1198,73;3821,895661;3852,857281;775,337017;681,98;642,19;10203,5877;604,669;598,558;2042,233289;2052,929414;3170682,53;31068,8843;18734433,32;1641,374291;0;8137077,873;8424964,87;14;13;210,9627062;189,6469377;5,38;5,07503;4,4871;4,18326;0,8929;0,891768;0,8091;0,810448
Northern Mountain ranges;615;613;0,8222;0,054785435;2,6531;-20,56987223;0,7959;-40,49365919;0,923423423;1,021594684;2,71574;4,62946;19,04761905;0,200755786;14,65517241;11,37071651;9,40344312;251,565;223,198;300;287,695;1106,494112;1085,47798;0;569,11;537,75;839,987592;0;0;0;0;359210,976;15720,13239;18277710,28;1340,930898;0;729209,9484;766215,0019;0;0;249,4329495;245,8327228;4,4712;4,66614;3,5673;3,76377;0,9039;0,902393;0,7959;0,79429
Northern Mountain ranges;611;611;-2,2889;-4,320124168;-2,2041;-24,45054546;-2,2041;-42,69158326;0,916041979;1,014950166;9,66441;6,75936;17,1957672;0,595813205;16,08695652;4,186046512;10,96076501;86,6335;121,022;300;309,695;1130,014617;1157,609554;0;758,25;730,86;96,715997;0;0;0;0;227545,2259;77189,04184;17930979,02;1276,245904;0;545677,529;439502,9335;0;0;269,9573219;271,923573;4,4227;4,5001;3,5276;3,60129;0,8951;0,89882;0,7741;0,776345
Northern Mountain ranges;608;608;-2,8;-1,918153091;-0,6327;-17,56318836;-2,6735;-37,27640692;0,925418569;1,009966777;2,46287;3,36826;18,21192053;0,389917839;16,76646707;6,814580032;10,21309302;305,538;271,691;103,078;91,9751;497,3072711;451,5371037;8808,985544;639,36;644,23;1109,209295;0;0;0;0;244162,2185;15720,13239;18050938,23;1297,717545;0;1175151,154;632999,1281;2;3;247,0453226;201,4601207;4,1899;4,24942;3,287;3,34727;0,903;0,902202;0,791;0,793179
Central Mountain ranges;745;745;5,38;0,44;5,76;1,672496608;5,76;8,904015449;0,998659517;1,142638037;5,49363;4,26362;21,41230068;15,69343066;0,713337757;2,949061662;7,953110309;297,897;178,272;1665,27;1664,54;6054,739588;6052,905931;875504,8508;1074,16;1048,97;307817,9118;8037,45;8031,75;24643,18429;24611,52618;620438,993;0;23296066,74;10108,89366;0;763969,402;777100,6016;67;68;447,3956558;470,2161928;4,2375;4,21944;3,3146;3,29566;0,9229;0,923776;1,3161;1,31325
Central Mountain ranges;699;698;-4,62;1,34;-4,69;4,189391843;-4,69;7,163707199;0,961485557;1,080370943;5,41934;5,83306;15,81027668;13,3105802;13,3105802;0,138696255;10,1891583;108,435;112,183;1422,15;1411,89;4642,857443;4652,599842;25431,0108;1015,99;1036,29;20501,67113;7324,49;7319,33;21899,77173;21871,72356;0;0;23492320,13;7759,336845;0;6800130,735;3513239,043;20;21;84,5014;87,78316038;4,4994;4,55943;3,5828;3,64338;0,9166;0,916094;1,0215;1,02268
Central Mountain ranges;474;474;-1,8;1,12;-1,76;3,379993951;-1,76;12,46925759;0,913294798;1,008510638;0,572939;0,844907;8,89292196;9,497206704;9,497206704;0,204498978;11,57346483;180;164,72;35,3553;33,2473;455,4982874;383,4920967;100004,7719;408,76;443,53;1907,946416;5375,06;5367,44;15476,77853;15557,1641;0;0;23625915,5;7488,925314;0;13152323,78;12103841,33;7;6;728,7202319;817,5747501;4,4186;4,41775;3,5356;3,53474;0,883;0,88297;0,801;0,799325
Central Mountain ranges;723;723;-0,13;-0,73;0,18;7,442993834;0,18;17,46717645;0,965287049;1,028449502;3,23769;3,71462;7,324840764;9,868421053;9,868421053;0,134952767;10,2471505;225;224,832;977,88;969,951;3251,067111;3229,8471;95,084037;291;317,98;1711,104804;9395,51;9390,66;28010,23295;27983,03839;0;0;22108138,39;8596,876118;0;8180480,511;8077372,202;7;7;174,9621062;157,878234;4,6085;4,63292;3,6872;3,71192;0,9213;0,921019;1,148;1,15181
Central Mountain ranges;721;720;-0,02;-2,04;0,37;1,869733012;0,37;9,731335689;0,962616822;1,031473534;5,11109;5,21707;7,598784195;8,841463415;4,420731707;0,271370421;10,1791799;206,565;202,098;926,35;918,377;3099,015089;3075,394026;0;373,98;377,27;1711,67634;9362,96;9362,28;27908,28956;27889,32903;0;0;22520904,73;9168,221028;0;9085691,791;8506510,391;8;8;66,81118318;55,08694643;4,7798;4,79489;3,8599;3,87514;0,9199;0,919752;1,1369;1,13288
Central Mountain ranges;716;715;0,58;1,89;0,29;20,2923276;0,29;31,66617066;0,97414966;1,033189033;4,22215;5,25746;5,6;10,15625;0,350215517;3,956343793;9,824897474;61,6992;60,4441;1075,29;1087,83;3403,0036;3436,476992;0;720,51;681,37;1313,224509;8866,02;8871,77;26444,17973;26446,49582;0;0;22426834,82;9362,674572;0;13767711,46;703498,1651;0;0;88,15172303;84,07105348;4,2404;4,17618;3,3203;3,2578;0,9202;0,918373;1,1619;1,15397
Central Mountain ranges;729;728;-3,27;-1,34;-3,04;-5,667407886;-3,04;-3,958240607;0,961741425;1,029661017;7,29772;6,93108;7,949125596;11,23595506;11,23595506;0,133511348;10,00721535;141,34;149,438;1131,92;1120,35;3751,400156;3713,046217;0;558,2;525,04;1009,591561;9465,53;9476,15;28298,59177;28285,91992;0;0;22756437,46;9621,645309;0;15419717,38;9840744,607;8;8;0;21,14921785;4,8427;4,84317;3,9242;3,92414;0,9184;0,91899;1,0982;1,08798
Central Mountain ranges;744;742;2,18;-0,73;2,78;-2,488477091;2,78;-1,295927741;0,976377953;1,036211699;9,02895;9,81126;7,457627119;8,415841584;0,300565771;3,703703704;9,369134307;65,8545;61,9343;1386,09;1384,15;4518,702859;4503,516849;0;1232,4;1200,75;29247,97543;7909,84;7914,05;24216,58386;24236,68098;86,301017;3145,550528;20288586,81;4704,381761;0;117589,5844;49323,80318;8;7;72,0014;67,06143615;4,0294;3,95309;3,1098;3,03471;0,9195;0,918314;1,1339;1,12063
Central Mountain ranges;736;736;-4,16;-1,94;-3,9;-2,406746626;-3,9;-1,504478719;0,967148489;1,025069638;9,15982;9,77278;7,363013699;9,295774648;9,295774648;0,132275132;10,05252535;97,125;94,9934;1377,04;1384,05;4410,52592;4438,184308;260,074003;924,51;944,66;17852,76139;8000,98;7993,72;24440,13066;24436,80876;29285,84818;0;23599093,03;11145,46255;0;74717519,4;55233675,23;4;5;48,81238318;44,34569838;4,48;4,44548;3,5604;3,52692;0,9196;0,918558;1,0331;1,04826
Central Mountain ranges;736;737;-0,73;1,35;-0,33;2,973342025;-0,33;3,464810402;0,972258917;1,02364395;9,70519;9,59491;5,819295559;9,747292419;0,443058746;2,925531915;10,19400025;74,7449;77,9173;1375;1382,11;4451,578543;4473,413348;23,702316;752,62;801,84;17902,15401;8046,62;8051,51;24636,13026;24602,83864;29024,37281;0;22252146,59;6794,422893;0;5180076,999;3477139,458;6;6;70,0016;67,32407396;4,1014;4,20903;3,1853;3,29135;0,916;0,917636;1,0973;1,11016
Central Mountain ranges;714;717;5,49;-0,6;5,9;-8,767253967;5,9;-9,888444468;0,972752044;1,046920821;10,6849;9,4497;15,80547112;20,58823529;20,58823529;0,136425648;9,562958788;32,0054;37,8659;1194;1186,87;3901,642724;3879,237739;0;406,03;412,96;1996,608673;8649,6;8640,29;25651,33267;25693,46444;19973,45146;0;22211673,75;8642,000145;0;5897267,62;2802362,862;4;5;121,0008;113,1941492;3,535;3,75127;2,6249;2,83752;0,9102;0,913755;1,2318;1,23754
Central Mountain ranges;751;751;0,91;-1,06;1,2;-8,307735092;1,2;-7,899661067;0,985564304;1,112592593;0,572939;0,867552;12,42857143;9,271523179;0,515084621;2,380952381;8,71080249;90;163,296;1185,59;1179,63;4526,667936;4509,807369;17872,36759;1640,32;1632,28;44510,16233;8977,23;8966,48;27184,69705;27208,40402;24152,6116;0;23303645,8;10139,30318;0;18328246,66;10926503,72;7;7;145,6223664;157,4539536;4,4411;4,40532;3,5146;3,47887;0,9265;0,926459;1,28;1,28047
Central Mountain ranges;702;703;-0,42;3,56;-1,59;9,012286656;-1,59;9,83124107;0,932270916;1,126805778;8,81524;10,303;22,53032929;21,96721311;0,813600486;3,683492497;11,08088865;339,228;285,562;917,878;915,063;3534,197426;3520,843311;464846,7874;2368;2386,74;159553,6463;9025;9036,73;27373,0443;27392,28297;0;0;23281715,74;9344,105309;0;8953246,984;10181362,45;29;31;137,1047728;121,0571926;3,5545;3,42738;2,6419;2,51754;0,9125;0,909783;1,3174;1,31936
Central Mountain ranges;757;756;2,33;0,94;3,51;3,27182914;3,51;-0,53147985;0,99343832;1,073758865;8,66047;9,71168;12,07627119;12,09439528;0,177858754;8,923884514;8,601064757;113,199;111,614;1445,03;1448,5;5348,688072;5361,66964;184791,2174;2335,16;2351,63;126680,9035;8575,91;8574,75;26268,20565;26242,97312;663436,0078;0;23554832,52;10590,65458;0;45307647,9;50066700,07;32;29;217,150923;216,5723945;4,6692;4,66096;3,7469;3,7407;0,9223;0,920256;1,2473;1,2406
Central Mountain ranges;738;741;-4,58;-0,06;-3,76;2,320421447;-3,76;15,74747442;0,968503937;1,068017366;13,7249;15,1934;13,4469697;12,5;0,416666667;3,937007874;9,316130718;112,891;114,256;1510,38;1498,41;5566,801772;5527,443603;108608,0715;2311,36;2366,06;43975,14669;8525,92;8513,36;25950,20565;25983,25995;449648,6438;0;21754111,53;11781,21679;0;36796538,58;44905589,69;9;12;55;100,0262418;4,7425;4,82092;3,833;3,91322;0,9096;0,907766;1,1253;1,14322
Central Mountain ranges;722;720;-0,4;-1,94;0,18;-4,050587498;0,18;7,361594603;0,980978261;1,054014599;6,16038;6,89408;7,213578501;8,148148148;0,582010582;1,915184679;8,212343935;166,607;165,573;577,17;570,749;1957,357398;1938,614623;3964,028125;1040,24;1066,19;10154,26046;8382,2;8373,1;25426,66835;25410,29082;27542,08004;0;21826316,69;8680,140937;0;179589,2634;223007,4305;7;6;352,152323;363,0463887;4,8649;4,92668;3,9455;4,00833;0,9195;0,918367;1,0455;1,03205
Central Mountain ranges;739;738;-4,44;-1,07;-4,31;-3,007827726;-4,31;8,478226585;0,977513228;1,026388889;9,09028;7,78308;6;6,624605678;6,624605678;0,133511348;8,972425529;90;106,998;1196,35;1191,92;3782,684404;3773,335143;19289,21795;700,84;734,82;9536,099836;8671,25;8678,76;26446,86642;26477,99632;30278,81244;0;22525680,57;7801,819218;0;3569864,513;922557,5851;3;3;162,001;138,5372151;4,3755;4,58224;3,4582;3,66285;0,9173;0,919388;1,1679;1,15961
Central Mountain ranges;752;752;1,2;-1,63;1,65;-8,962417506;1,65;0,011791021;0,994708995;1,110782866;4,22215;3,86671;23,58208955;14,83516484;3,708791209;0,529100529;8,422969737;151,699;154,526;1375;1381,58;4365,224123;4378,850815;42583,81106;1308,4;1336,31;18975,83054;8935,46;8939,2;27217,11061;27245,02376;30284,55138;0;22488639,46;7834,282161;0;1553588,898;1827307,323;9;10;175,150923;196,0809889;4,7926;4,75351;3,8674;3,82801;0,9252;0,925505;1,2767;1,28236
